STOP DATE,"STOP TIME","SENT TO STATE","INCIDENT NUMBER","STOP TYPE DESCRIPTION","GEO CODE","ANONYMOUS HOUSE NUMBER","ADDRESS STREET","CROSS STREET","RACE DESCRIPTION","SEX DESCRIPTION","RESIDENCY CODE","AGE IN YEARS (at time of contact)","PAT-DOWN FRISK CONDUCTED","SEARCH CONDUCTED","CITATION ISSUED","ARREST MADE","REASON FOR STOP - DRUG TRANSACTION","REASON FOR STOP - RADIO BROADCAST CFS","REASON FOR STOP - FITS DESCRIPTION","REASON FOR STOP - CASING","REASON FOR STOP - PROXIMITY","REASON FOR STOP - GANG ENFORCEMENT","REASON FOR STOP - SUSPICIOUS ACTIVITY","REASON FOR STOP - OTHER","FRISK CONDUCTED BY","REASON FOR FRISK - ADMINISTRATIVE","REASON FOR FRISK - VERBAL THREATS","REASON FOR FRISK - CRIMINAL VIOLENT BEHAVIOR","REASON FOR FRISK - VIOLENT BEHAVIOR","REASON FOR FRISK - VIOLENT CRIME","REASON FOR FRISK - SUSPICIOUS BULGE","REASON FOR FRISK - EVASIVE","REASON FOR FRISK - OTHER","PAT-DOWN FRISK LED TO SEARCH BEYOND","SEARCH CONDUCTED BY","REASON FOR SEARCH - ADMINISTRATIVE","REASON FOR SEARCH - DRUGS","REASON FOR SEARCH - HARD OBJECT","REASON FOR SEARCH - FIREARM","REASON FOR SEARCH - OTHER WEAPON","REASON FOR SEARCH - OTHER","CONTRABAND FOUND","CONTRABAND FOUND - DRUGS","CONTRABAND FOUND - DRUG PARAPHERNALIA","CONTRABAND FOUND - ALCOHOL","CONTRABAND FOUND - WEAPON","CONTRABAND FOUND - STOLEN PROPERTY","CONTRABAND FOUND - OTHER","MAPPING ADDRESS"
07/19/2019,"04:36","NO","UU1903534","PEDESTRIAN","54706","700 BLOCK","KERR AVE",,"WHITE","MALE","U","60","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","700 KERR AVE ,URBANA,IL"
07/17/2019,"23:59","NO","UF1900824","PEDESTRIAN","54602","1500 BLOCK","N LINCOLN AVE",,"BLACK OR AFRICAN AMERICAN","MALE","Y","27","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","1500 N LINCOLN AVE ,URBANA,IL"
07/16/2019,"16:27","NO","UF1900816","PEDESTRIAN","51907","1800 BLOCK","N CUNNINGHAM",,"BLACK OR AFRICAN AMERICAN","FEMALE","N",,"NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","1800 N CUNNINGHAM ,URBANA,IL"
07/15/2019,"13:50","YES","UF1900812","PEDESTRIAN","57503","700 BLOCK","W GREEN ST",,"BLACK OR AFRICAN AMERICAN","MALE","Y","14","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","CONSENT","NO","NO","NO","NO","NO","NO","NO","YES","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","700 W GREEN ST ,URBANA,IL"
07/15/2019,"14:08","YES","UF1900812","PEDESTRIAN","57503","700 BLOCK","W GREEN ST",,"BLACK OR AFRICAN AMERICAN","MALE","Y","14","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","CONSENT","NO","NO","NO","NO","NO","NO","NO","YES","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","700 W GREEN ST ,URBANA,IL"
07/14/2019,"13:05","NO","UF1900806","PEDESTRIAN","51908","800 BLOCK","PERKINS RD",,"BLACK OR AFRICAN AMERICAN","MALE","Y","32","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","800 PERKINS RD ,URBANA,IL"
07/14/2019,"16:37","NO","UF1900808","PEDESTRIAN","54611","600 BLOCK","W UNIVERSITY AV",,"WHITE","FEMALE","U","52","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","600 W UNIVERSITY AV ,URBANA,IL"
07/11/2019,"21:42","NO","UF1900793","PEDESTRIAN","57703","1 BLOCK","SMITH RD","WASHINGTON","BLACK OR AFRICAN AMERICAN","MALE","Y","45","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","1 SMITH RD ,URBANA,IL"
07/09/2019,"02:38","NO","UF1900773","PEDESTRIAN","57601","300 BLOCK","S BROADWAY AV",,"BLACK OR AFRICAN AMERICAN","MALE","N","42","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","300 S BROADWAY AV ,URBANA,IL"
07/08/2019,"22:38","NO","UF1900772","PEDESTRIAN","54610","1 BLOCK","CHURCH STREET","COLER","BLACK OR AFRICAN AMERICAN","FEMALE","N","17","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","1 CHURCH STREET ,URBANA,IL"
07/08/2019,"22:38","NO","UF1900772","PEDESTRIAN","54610","1 BLOCK","CHURCH STREET","COLER","BLACK OR AFRICAN AMERICAN","FEMALE","N","19","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","1 CHURCH STREET ,URBANA,IL"
07/06/2019,"01:55","YES","UU1903290","PEDESTRIAN","57607","800 BLOCK","S WEBBER ST",,"WHITE","MALE","Y","54","YES","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","CONSENT","NO","NO","NO","NO","NO","NO","NO","NO","YES","CONSENT","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","800 S WEBBER ST ,URBANA,IL"
07/05/2019,"17:06","NO","UF1900756","PEDESTRIAN","54709","1 BLOCK","SYCAMORE ST","UNIVERSITY AVE","WHITE","MALE","U","44","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","1 SYCAMORE ST ,URBANA,IL"
07/03/2019,"23:56","YES","UU1903252","PEDESTRIAN","54611","100 BLOCK","W PARK ST",,"BLACK OR AFRICAN AMERICAN","FEMALE","Y","15","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","PROBABLE CAUSE","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","YES","100 W PARK ST ,URBANA,IL"
07/03/2019,"23:56","YES","UU1903252","PEDESTRIAN","54611","100 BLOCK","W PARK ST",,"BLACK OR AFRICAN AMERICAN","FEMALE","Y","19","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","PROBABLE CAUSE","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","YES","100 W PARK ST ,URBANA,IL"
07/03/2019,"23:56","YES","UU1903252","PEDESTRIAN","54611","100 BLOCK","W PARK ST",,"BLACK OR AFRICAN AMERICAN","MALE","Y","18","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","PROBABLE CAUSE","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","YES","100 W PARK ST ,URBANA,IL"
06/30/2019,"20:19","YES","UU1903192","PEDESTRIAN","60508","1 BLOCK","VAWTER ST","MITCHEM DR","BLACK OR AFRICAN AMERICAN","MALE","Y","12","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","SEARCH INCIDENT TO ARREST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","1 VAWTER ST ,URBANA,IL"
06/30/2019,"20:19","NO","UU1903192","PEDESTRIAN","60508","1 BLOCK","VAWTER ST","MITCHEM DR","BLACK OR AFRICAN AMERICAN","MALE","Y","13","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","1 VAWTER ST ,URBANA,IL"
06/29/2019,"10:07","YES","UF1900731","PEDESTRIAN","54705","100 BLOCK","STEBBINS DR",,"BLACK OR AFRICAN AMERICAN","MALE","N","30","NO","YES","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","PROBABLE CAUSE","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","100 STEBBINS DR ,URBANA,IL"
06/29/2019,"10:08","NO","UF1900731","PEDESTRIAN","54705","100 BLOCK","STEBBINS DR",,"WHITE","FEMALE","Y","26","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","100 STEBBINS DR ,URBANA,IL"
06/28/2019,"16:02","YES","UU1903147","PEDESTRIAN","60504","1100 BLOCK","COLORADO AV","COTTAGE GROVE","BLACK OR AFRICAN AMERICAN","MALE","Y","13","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","SEARCH INCIDENT TO ARREST","NO","YES","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","1100 COLORADO AV ,URBANA,IL"
06/28/2019,"18:39","YES","UU1903148","PEDESTRIAN","57601","300 BLOCK","S BROADWAY",,"BLACK OR AFRICAN AMERICAN","MALE","Y","13","NO","YES","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","SEARCH INCIDENT TO ARREST","NO","YES","NO","NO","NO","NO","YES","YES","YES","NO","NO","YES","NO","300 S BROADWAY ,URBANA,IL"
06/28/2019,"18:45","YES","UU1903152","PEDESTRIAN","54703","1000 BLOCK","KERR AVE",,"BLACK OR AFRICAN AMERICAN","MALE","U","40","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","SEARCH INCIDENT TO ARREST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","1000 KERR AVE ,URBANA,IL"
06/26/2019,"09:30","NO","UF1900720","PEDESTRIAN","57604","200 BLOCK","S COTTAGE GROVE AV",,"WHITE","MALE","U","49","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","200 S COTTAGE GROVE AV ,URBANA,IL"
06/26/2019,"09:30","NO","UF1900720","PEDESTRIAN","57604","200 BLOCK","S COTTAGE GROVE AV",,"WHITE","MALE","U","50","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","200 S COTTAGE GROVE AV ,URBANA,IL"
06/26/2019,"20:03","YES","UF1900721","PEDESTRIAN","57705","1500 BLOCK","E WASHINGTON ST",,"BLACK OR AFRICAN AMERICAN","MALE","Y","13","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","REASONABLE SUSPICION","NO","NO","NO","NO","NO","NO","NO","YES","NO","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","Not Applicable","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","1500 E WASHINGTON ST ,URBANA,IL"
